ListingNumber,Term,LoanStatus,BorrowerAPR,BorrowerRate,LenderYield,ProsperScore,ListingCategory,BorrowerState,Occupation,EmploymentStatus,AmountDelinquent,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,LoanOriginalAmount,LoanOriginationDate
1164962,36,Current,0.17151,0.1355,0.1255,9,Debt Consolidation,VA,Computer Programmer,Employed,0,1,35,35,0,0.0,2500.0,4000,2014
886064,60,Current,0.10878,0.0869,0.0769,10,Home Improvement,MO,Other,Other,0,1,14,14,0,0.0,20000.0,10000,2013
704916,36,Chargedoff,0.35356,0.3134,0.3034,3,Household Expenses,CA,Other,Not employed,0,1,11,7,4,0.0,5000.0,4000,2013
421994,36,Completed,0.15529,0.1338,0.1238,9,Debt Consolidation,MD,Professional,Full-time,0,1,14,14,0,0.0,15000.0,10000,2009
579737,36,Chargedoff,0.26681,0.2287,0.2187,2,Business,CO,Truck Driver,Self-employed,0,1,29,28,1,0.0,15000.0,15000,2012
538122,36,Current,0.19088,0.1619,0.1519,6,Debt Consolidation,IL,Other,Employed,134,1,5,5,0,0.0,5000.0,10000,2011
422813,36,Completed,0.14476,0.1234,0.1134,9,Debt Consolidation,IL,Police Officer/Correction Officer,Full-time,0,1,22,22,0,0.0,3000.0,2000,2010
485323,36,Completed,0.34631,0.31,0.3,5,Other,PA,Nurse (RN),Full-time,71,1,4,4,0,0.0,6000.0,3000,2010
876766,60,Current,0.20081,0.1769,0.1669,6,Debt Consolidation,LA,Construction,Employed,0,2,12,12,0,0.0,26500.0,15000,2013
621421,60,Current,0.15936,0.1364,0.1264,8,Engagement Ring,MD,Other,Employed,0,1,24,24,0,0.0,1500.0,5000,2012
569000,36,Defaulted,0.33973,0.2999,0.2899,3,Auto,KY,Military Enlisted,Employed,1890,1,3,3,0,0.0,2000.0,3000,2012
571141,36,Past Due (1-15 days),0.33973,0.2999,0.2899,3,Home Improvement,KY,Other,Other,0,1,10,10,0,0.0,2000.0,2500,2012
422844,36,Completed,0.09191,0.0712,0.0612,10,Auto,OK,Professional,Full-time,0,1,9,9,0,0.0,2000.0,2200,2009
1205183,36,Current,0.28943,0.2504,0.2404,2,Debt Consolidation,NY,Professional,Employed,0,1,1,1,0,0.0,4000.0,3333,2014
582049,60,Completed,0.20705,0.183,0.173,7,Business,CA,Computer Programmer,Employed,0,1,4,4,0,0.0,2550.0,15000,2012
1202850,36,Current,0.09469,0.0809,0.0709,11,Auto,OR,Tradesman - Mechanic,Employed,15599,1,15,15,0,0.0,4500.0,5500,2014
703648,36,Current,0.09988,0.0864,0.0764,10,Debt Consolidation,MS,Teacher,Employed,0,3,46,46,0,0.0,18200.0,3600,2013
587828,36,Current,0.18316,0.1469,0.1369,6,Other,GA,Social Worker,Employed,0,1,14,14,0,0.0,4000.0,2900,2012
544844,36,Defaulted,0.34731,0.3073,0.2973,1,Home Improvement,MN,Postal Service,Employed,0,1,2,1,1,0.0,4500.0,5500,2011
672376,36,Current,0.13697,0.1089,0.0989,8,Other,LA,Attorney,Employed,0,1,6,6,0,0.0,4000.0,2000,2012
871842,36,Current,0.20462,0.1679,0.1579,4,Large Purchases,OH,Other,Other,0,1,13,12,1,0.0,4000.0,3500,2013
1102376,60,Current,0.18197,0.1585,0.1485,8,Home Improvement,NJ,Sales - Commission,Employed,0,2,30,30,0,0.0,20200.0,24800,2014
469529,36,Completed,0.29265,0.2575,0.2475,8,Other,NY,Professional,Employed,0,1,35,31,4,0.0,3000.0,3000,2010
724719,36,Chargedoff,0.19236,0.1559,0.1459,4,Debt Consolidation,WA,Other,Self-employed,0,2,12,12,0,0.0,19000.0,10000,2013
784141,60,Current,0.15629,0.1334,0.1234,8,Home Improvement,NC,Other,Employed,0,3,27,27,0,0.0,42500.0,15000,2013
660486,36,Current,0.23121,0.1939,0.1839,6,Taxes,CA,Nurse (RN),Employed,14639,1,9,9,0,0.0,5000.0,5000,2012
684354,36,Current,0.27285,0.2346,0.2246,6,Home Improvement,FL,Other,Other,188,1,9,9,0,0.0,3000.0,3500,2012
566342,36,Completed,0.11766,0.0899,0.0799,8,Other,NY,Professional,Employed,0,1,18,18,0,0.0,5000.0,2000,2012
487331,36,Completed,0.35858,0.322,0.312,5,Debt Consolidation,FL,Professional,Employed,0,1,28,28,0,0.0,6000.0,7500,2010
817690,36,Current,0.33286,0.2932,0.2832,2,Large Purchases,FL,Truck Driver,Employed,0,1,12,12,0,0.0,11000.0,4000,2013
430599,36,Completed,0.22593,0.201,0.191,10,Debt Consolidation,FL,Administrative Assistant,Full-time,0,1,16,16,0,0.0,1500.0,1500,2009
1158346,36,Current,0.14243,0.1139,0.1039,10,Debt Consolidation,NY,Clerical,Employed,0,1,26,26,0,0.0,8500.0,11000,2014
685138,36,Current,0.13138,0.1034,0.0934,7,Auto,NY,Professional,Employed,0,1,3,3,0,0.0,10000.0,7000,2012
457977,36,Completed,0.37402,0.3495,0.3395,5,Debt Consolidation,OH,Other,Full-time,103,1,34,34,0,0.0,6500.0,2500,2010
1220331,60,Current,0.15868,0.1355,0.1255,11,Debt Consolidation,MA,Other,Full-time,0,3,74,74,0,0.0,30000.0,20000,2014
631296,60,Current,0.15936,0.1364,0.1264,9,Medical/Dental,NC,Scientist,Employed,0,1,13,13,0,0.0,3000.0,3000,2012
630052,36,Completed,0.35797,0.3177,0.3077,1,Taxes,CA,Engineer - Mechanical,Employed,0,1,9,9,0,0.0,4000.0,4000,2012
575603,36,Chargedoff,0.22456,0.1874,0.1774,4,Medical/Dental,NC,Accountant/CPA,Employed,0,1,35,35,0,0.0,6800.0,7000,2012
567102,36,Chargedoff,0.26681,0.2287,0.2187,5,Debt Consolidation,KY,Other,Full-time,0,1,12,12,0,0.0,2000.0,5025,2012
506327,36,Current,0.25424,0.2199,0.2099,4,Other,CT,Computer Programmer,Employed,8040,1,35,32,3,0.0,5000.0,4200,2011
604139,36,Current,0.26681,0.2287,0.2187,7,Engagement Ring,TX,Professional,Employed,0,1,9,9,0,0.0,3500.0,2000,2012
784357,60,Current,0.17522,0.1519,0.1419,7,Taxes,MI,Professional,Employed,0,4,16,16,0,0.0,29500.0,15000,2013
599545,36,Current,0.12427,0.0964,0.0864,9,Debt Consolidation,IL,Analyst,Employed,0,1,10,10,0,0.0,10051.99,16500,2012
1195674,60,Current,0.16993,0.1465,0.1365,9,Debt Consolidation,CA,Professional,Employed,0,1,2,2,0,0.0,3400.0,11000,2014
576640,36,Current,0.33973,0.2999,0.2899,1,Taxes,NJ,Other,Self-employed,10970,1,35,35,0,0.0,5000.0,2500,2012
717871,36,Current,0.21025,0.1734,0.1634,2,Home Improvement,CT,Executive,Employed,0,1,6,6,0,0.0,8000.0,12000,2013
650993,36,Current,0.21025,0.1734,0.1634,4,Home Improvement,KS,Retail Management,Self-employed,0,1,35,34,0,1.0,5000.0,2000,2012
864529,36,Current,0.09837,0.0849,0.0749,10,Household Expenses,NY,Waiter/Waitress,Employed,0,1,2,2,0,0.0,10100.0,7000,2013
792314,60,Current,0.20081,0.1769,0.1669,6,Home Improvement,CT,Tradesman - Electrician,Employed,0,2,36,27,9,0.0,21000.0,10000,2013
556094,60,Current,0.2699,0.2443,0.2343,4,Other,MN,Executive,Employed,2643,1,12,12,0,0.0,7500.0,15000,2012
430051,36,Completed,0.37699,0.34,0.33,2,Business,CO,Truck Driver,Self-employed,0,1,34,27,7,0.0,6000.0,2500,2010
505795,36,Completed,0.32576,0.2899,0.2799,3,Debt Consolidation,CA,Clerical,Full-time,160,2,54,54,0,0.0,8000.0,4500,2011
530423,36,Current,0.34887,0.3125,0.3025,1,Debt Consolidation,CA,Bus Driver,Full-time,0,1,35,33,2,0.0,6000.0,4000,2011
484485,36,Defaulted,0.2952,0.26,0.25,6,Debt Consolidation,MO,Other,Full-time,0,3,63,63,0,0.0,6900.0,4000,2010
591628,36,Defaulted,0.22742,0.1902,0.1802,5,Debt Consolidation,KS,Other,Employed,0,1,7,5,2,0.0,4000.0,3000,2012
758046,60,Chargedoff,0.32393,0.2969,0.2869,3,Medical/Dental,FL,Professional,Full-time,18536,3,50,50,0,0.0,7500.0,4000,2013
874076,36,Current,0.15833,0.1299,0.1199,6,Taxes,IL,Professional,Employed,0,1,7,7,0,0.0,15000.0,15000,2013
446809,36,Chargedoff,0.34915,0.325,0.315,7,Home Improvement,NY,Architect,Full-time,0,1,32,32,0,0.0,5000.0,8000,2010
569077,60,Completed,0.35838,0.3304,0.3204,3,Debt Consolidation,MI,Computer Programmer,Employed,0,3,33,33,0,0.0,11500.0,4000,2012
533479,36,Completed,0.1322,0.111,0.101,8,Debt Consolidation,IL,Computer Programmer,Full-time,0,4,34,34,0,0.0,21000.0,10000,2011
879337,36,Current,0.34752,0.3075,0.2975,2,Other,SC,Food Service,Employed,0,2,21,21,0,0.0,6500.0,4000,2013
781432,36,Defaulted,0.35356,0.3134,0.3034,3,Household Expenses,GA,Other,Other,221,1,19,19,0,0.0,5900.0,4000,2013
604346,36,Current,0.14816,0.1199,0.1099,7,Wedding Loans,GA,Clerical,Employed,0,2,38,38,0,0.0,5001.0,10000,2012
800395,60,Current,0.10878,0.0869,0.0769,10,Auto,MD,Civil Service,Employed,0,1,15,15,0,0.0,7000.0,3500,2013
485124,36,Chargedoff,0.30951,0.274,0.264,6,Business,TN,Executive,Full-time,0,1,27,27,0,0.0,25000.0,7500,2010
561478,36,Current,0.11766,0.0899,0.0799,8,Debt Consolidation,NY,Professional,Employed,0,1,9,7,2,0.0,2000.0,3000,2012
539869,36,Completed,0.18986,0.1609,0.1509,5,Debt Consolidation,VA,Administrative Assistant,Employed,0,3,42,42,0,0.0,16000.0,7000,2011
725617,60,Current,0.18136,0.1579,0.1479,5,Household Expenses,CT,Skilled Labor,Employed,0,1,9,9,0,0.0,8500.0,16000,2013
783355,60,Current,0.14965,0.1269,0.1169,9,Debt Consolidation,VA,Doctor,Employed,75,2,39,39,0,0.0,22500.0,10000,2013
569328,36,Completed,0.17359,0.1449,0.1349,6,Medical/Dental,WA,Police Officer/Correction Officer,Full-time,29487,1,35,35,0,0.0,15000.0,2500,2012
706616,36,Current,0.09333,0.0799,0.0699,10,Wedding Loans,TX,Other,Full-time,0,1,34,34,0,0.0,4000.0,6000,2013
1244304,60,Current,0.14528,0.1224,0.1124,11,Debt Consolidation,NY,Other,Employed,0,2,65,61,4,0.0,27000.0,15000,2014
615940,60,Current,0.33297,0.3057,0.2957,3,Large Purchases,OH,Other,Full-time,0,2,39,39,0,0.0,11500.0,7500,2012
1116282,60,Current,0.17327,0.15,0.14,11,Debt Consolidation,CA,Analyst,Employed,0,1,11,6,5,0.0,17000.0,25000,2014
460749,36,Chargedoff,0.24807,0.21,0.2,5,Other,OK,Sales - Commission,Full-time,931,1,23,23,0,0.0,1000.0,1000,2010
709985,60,Current,0.11695,0.0949,0.0849,10,Debt Consolidation,CA,Analyst,Employed,0,1,8,8,0,0.0,15000.0,5000,2013
719501,60,Current,0.13227,0.1099,0.0999,9,Auto,MS,Teacher's Aide,Employed,0,3,95,95,0,0.0,20000.0,4200,2013
629978,12,Completed,0.18526,0.1279,0.1179,4,Medical/Dental,TN,Executive,Full-time,0,3,56,56,0,0.0,11900.0,2000,2012
794753,36,Current,0.3179,0.2786,0.2686,2,Home Improvement,GA,Professional,Employed,0,1,7,7,0,0.0,4000.0,3500,2013
997765,36,Current,0.20984,0.173,0.163,8,Large Purchases,WI,Truck Driver,Self-employed,0,2,63,63,0,0.0,16400.0,15000,2013
781657,36,Current,0.27285,0.2346,0.2246,4,Debt Consolidation,SC,Religious,Employed,36,2,53,53,0,0.0,12000.0,4000,2013
531674,36,Completed,0.29254,0.2574,0.2474,4,Debt Consolidation,CO,Truck Driver,Employed,89,2,50,48,2,0.0,6000.0,4000,2011
746763,36,Completed,0.25781,0.2199,0.2099,2,Taxes,TX,Other,Employed,0,2,7,7,0,0.0,6000.0,3200,2013
430768,36,Completed,0.2832,0.26,0.25,5,Home Improvement,IN,Engineer - Mechanical,Full-time,0,1,8,8,0,0.0,3200.0,2100,2009
687968,60,Current,0.23656,0.2118,0.2018,7,Household Expenses,FL,Professional,Full-time,0,1,9,9,0,0.0,15000.0,7500,2012
1068619,36,Current,0.14206,0.1139,0.1039,10,Debt Consolidation,PA,Executive,Employed,494,3,66,66,0,0.0,7500.0,6200,2014
696973,60,Completed,0.32321,0.2962,0.2862,6,Debt Consolidation,FL,Truck Driver,Employed,770,2,25,25,0,0.0,13200.0,2100,2013
528412,36,Completed,0.13413,0.1129,0.1029,8,Debt Consolidation,IL,Clerical,Employed,110,1,2,2,0,0.0,5000.0,25000,2011
681074,36,Current,0.33286,0.2932,0.2832,4,Debt Consolidation,NY,Professional,Employed,0,2,20,18,2,0.0,5000.0,4000,2012
830683,36,Current,0.29537,0.2566,0.2466,2,Debt Consolidation,GA,Other,Employed,0,2,51,50,1,0.0,6001.0,4000,2013
723386,36,Current,0.09837,0.0849,0.0749,10,Debt Consolidation,CA,Analyst,Employed,0,1,11,10,1,0.0,5000.0,5000,2013
639319,60,Current,0.17317,0.1499,0.1399,7,Debt Consolidation,TX,Executive,Employed,0,1,7,6,1,0.0,10000.0,25000,2012
545440,36,Completed,0.12528,0.0974,0.0874,8,Debt Consolidation,NY,Other,Employed,0,1,11,6,5,0.0,7000.0,20500,2011
457673,36,Chargedoff,0.29588,0.2725,0.2625,6,Debt Consolidation,OR,Other,Part-time,0,1,27,27,0,0.0,4000.0,5000,2010
632118,60,Current,0.2893,0.2632,0.2532,4,Debt Consolidation,GA,Clergy,Employed,0,1,9,9,0,0.0,4000.0,7500,2012
530332,36,Completed,0.34887,0.3125,0.3025,1,Business,MO,Other,Self-employed,0,1,22,4,17,1.0,3000.0,4000,2011
1066466,36,Current,0.11563,0.0879,0.0779,8,Home Improvement,TX,Professional,Employed,0,2,29,28,1,0.0,27500.0,10000,2014
756656,36,Current,0.08325,0.0699,0.0599,10,Debt Consolidation,MO,Engineer - Mechanical,Full-time,0,3,32,32,0,0.0,13500.0,11000,2013
1031840,36,Current,0.19859,0.162,0.152,8,Medical/Dental,NJ,Executive,Employed,0,1,1,0,1,0.0,10000.0,15000,2013
765679,60,Current,0.29341,0.2672,0.2572,2,Debt Consolidation,NE,Other,Employed,0,1,8,7,1,0.0,6500.0,15000,2013
445973,36,Completed,0.22135,0.199,0.189,9,Home Improvement,FL,Other,Retired,0,1,33,33,0,0.0,2000.0,2500,2010
823914,60,Completed,0.10878,0.0869,0.0769,10,Debt Consolidation,NJ,Analyst,Employed,0,2,29,28,1,0.0,16000.0,10000,2013
529744,36,Current,0.34621,0.3099,0.2999,4,Business,FL,Professional,Employed,124,1,12,12,0,0.0,3200.0,4400,2011
613060,60,Past Due (61-90 days),0.16151,0.1385,0.1285,8,Other,GA,Other,Employed,0,1,7,7,0,0.0,10000.0,22500,2012
1097153,60,Current,0.14658,0.1239,0.1139,9,Debt Consolidation,DC,Other,Employed,0,1,35,35,0,0.0,6600.0,7000,2014
806849,60,Current,0.17522,0.1519,0.1419,6,Home Improvement,MD,Skilled Labor,Employed,0,2,4,4,0,0.0,8000.0,10000,2013
601576,36,Current,0.26681,0.2287,0.2187,2,Debt Consolidation,CA,Other,Employed,7951,1,6,6,0,0.0,2500.0,2300,2012
991235,60,Current,0.13227,0.1099,0.0999,11,Home Improvement,CA,Other,Employed,0,4,76,76,0,0.0,20900.0,15000,2013
787188,60,Current,0.20593,0.1819,0.1719,5,Boat,MN,Professional,Employed,0,1,7,7,0,0.0,2000.0,15000,2013
460308,36,Completed,0.07479,0.0714,0.0614,10,Debt Consolidation,FL,Administrative Assistant,Part-time,0,1,6,6,0,0.0,1000.0,1000,2010
605923,60,Current,0.35838,0.3304,0.3204,2,Home Improvement,MI,Nurse's Aide,Full-time,0,3,46,46,0,0.0,9000.0,4000,2012
475473,36,Completed,0.15803,0.1365,0.1265,8,Business,GA,Professional,Employed,0,1,35,35,0,0.0,20000.0,15000,2010
459128,36,Completed,0.37453,0.35,0.34,5,Debt Consolidation,MO,Tradesman - Mechanic,Full-time,0,1,12,12,0,0.0,4000.0,4000,2010
801950,36,Chargedoff,0.18725,0.1509,0.1409,6,Debt Consolidation,IL,Police Officer/Correction Officer,Employed,99,3,12,12,0,0.0,22000.0,10000,2013
508145,36,Completed,0.08331,0.0799,0.0699,10,Debt Consolidation,GA,Other,Employed,0,1,20,20,0,0.0,10000.0,14000,2011
1049216,36,Current,0.13799,0.1099,0.0999,8,Debt Consolidation,IL,Other,Employed,117,1,9,9,0,0.0,6000.0,4000,2013
429331,36,Completed,0.25998,0.2371,0.2271,9,Debt Consolidation,CA,Computer Programmer,Full-time,0,1,13,13,0,0.0,15000.0,4500,2009
561237,36,Completed,0.11766,0.0899,0.0799,8,Home Improvement,NC,Police Officer/Correction Officer,Employed,0,2,16,16,0,0.0,17500.0,6000,2012
589139,12,Completed,0.20784,0.1304,0.1204,2,Debt Consolidation,CA,Accountant/CPA,Employed,33376,2,67,67,0,0.0,3500.0,2000,2012
456977,36,Completed,0.22135,0.199,0.189,9,Debt Consolidation,NE,Analyst,Full-time,0,1,17,16,1,0.0,10000.0,4000,2010
842364,36,Completed,0.15833,0.1299,0.1199,7,Debt Consolidation,CA,Truck Driver,Self-employed,0,1,13,13,0,0.0,3000.0,3500,2013
549530,36,Completed,0.34731,0.3073,0.2973,3,Debt Consolidation,VA,Sales - Commission,Employed,4650,3,15,13,2,0.0,5500.0,4000,2012
440607,36,Completed,0.22491,0.2,0.19,5,Debt Consolidation,AK,Professional,Full-time,0,1,20,20,0,0.0,5000.0,1500,2010
1022836,60,Current,0.15425,0.1314,0.1214,11,Debt Consolidation,WI,Computer Programmer,Employed,0,1,7,7,0,0.0,15000.0,15000,2013
871814,60,Current,0.13942,0.1169,0.1069,10,Business,GA,Other,Employed,0,1,1,1,0,0.0,15000.0,7000,2013
518092,36,Current,0.22362,0.1899,0.1799,6,Debt Consolidation,IN,Executive,Full-time,0,1,11,11,0,0.0,2300.0,2500,2011
876065,60,Current,0.15629,0.1334,0.1234,8,Debt Consolidation,KS,Professional,Employed,0,1,14,14,0,0.0,5500.0,10000,2013
1143992,60,Current,0.18555,0.162,0.152,9,Debt Consolidation,NY,Nurse (RN),Employed,0,1,20,20,0,0.0,15000.0,23000,2014
647076,36,Chargedoff,0.2706,0.2324,0.2224,3,Other,OH,Professional,Employed,443,1,11,10,1,0.0,4000.0,15000,2012
848234,60,Completed,0.13942,0.1169,0.1069,9,Debt Consolidation,NY,Sales - Commission,Self-employed,0,1,7,7,0,0.0,1000.0,10000,2013
653886,36,Current,0.12528,0.0974,0.0874,8,Debt Consolidation,CA,Professional,Employed,0,2,29,29,0,0.0,12000.0,13800,2012
1082097,60,Current,0.14658,0.1239,0.1139,11,Debt Consolidation,TX,Professional,Employed,0,1,3,3,0,0.0,15000.0,15000,2013
757893,36,Current,0.17192,0.1359,0.1259,6,Debt Consolidation,MN,Administrative Assistant,Employed,0,1,10,4,6,0.0,6000.0,7000,2013
992212,60,Current,0.2214,0.197,0.187,7,Debt Consolidation,CO,Other,Employed,0,4,51,51,0,0.0,36500.0,13000,2014
782477,36,Current,0.20462,0.1679,0.1579,6,Medical/Dental,CA,Administrative Assistant,Full-time,0,2,48,34,14,0.0,15500.0,9500,2013
719728,60,Current,0.19364,0.1699,0.1599,5,Medical/Dental,NJ,Administrative Assistant,Employed,63,2,25,25,0,0.0,5500.0,3100,2013
647225,36,Completed,0.31627,0.277,0.267,1,Vacation,TX,Other,Employed,0,1,2,2,0,0.0,3000.0,3000,2012
873284,60,Current,0.26877,0.2432,0.2332,4,Debt Consolidation,MS,Construction,Employed,426,2,24,20,4,0.0,11500.0,4000,2013
1137096,60,Current,0.15425,0.1314,0.1214,11,Business,VA,Other,Employed,0,1,18,18,0,0.0,8300.0,25000,2014
703833,36,Current,0.19645,0.1599,0.1499,6,Boat,CA,Other,Employed,0,1,34,34,0,0.0,10000.0,20000,2013
517079,36,Chargedoff,0.27467,0.2399,0.2299,4,Other,OH,Nurse (LPN),Full-time,9778,2,67,67,0,0.0,16000.0,2200,2011
505310,36,Completed,0.32576,0.2899,0.2799,2,Debt Consolidation,CA,Professional,Employed,0,1,8,8,0,0.0,1500.0,7500,2011
1026799,60,Current,0.13636,0.1139,0.1039,11,Home Improvement,AL,Professional,Employed,0,2,38,38,0,0.0,17870.0,23695,2013
948116,36,Current,0.34752,0.3075,0.2975,3,Debt Consolidation,LA,Other,Employed,0,1,23,23,0,0.0,7500.0,4000,2013
640618,36,Current,0.12528,0.0974,0.0874,8,Debt Consolidation,CA,Medical Technician,Employed,0,2,22,22,0,0.0,14000.0,14500,2012
602713,36,Current,0.12427,0.0964,0.0864,9,Household Expenses,FL,Truck Driver,Full-time,0,3,78,78,0,0.0,8500.0,8000,2012
596236,36,Completed,0.26681,0.2287,0.2187,6,Debt Consolidation,NY,Professional,Employed,0,1,19,19,0,0.0,3000.0,15000,2012
789268,36,Current,0.15833,0.1299,0.1199,8,Debt Consolidation,NY,Retail Management,Employed,0,1,11,11,0,0.0,5000.0,3000,2013
1032200,36,Current,0.16324,0.1274,0.1174,7,Debt Consolidation,TN,Medical Technician,Employed,0,1,11,11,0,0.0,6500.0,15000,2013
611927,60,Current,0.28704,0.261,0.251,3,Debt Consolidation,VA,Retail Management,Employed,3893,1,9,9,0,0.0,6000.0,13000,2012
865262,60,Current,0.31848,0.2916,0.2816,5,Home Improvement,WI,Professional,Employed,0,2,26,25,1,0.0,19500.0,4000,2013
888815,36,Current,0.13799,0.1099,0.0999,10,Home Improvement,LA,Construction,Self-employed,0,1,11,11,0,0.0,3000.0,4000,2013
1128961,36,Current,0.28595,0.2474,0.2374,4,Debt Consolidation,OH,Retail Management,Employed,0,1,17,17,0,0.0,2500.0,5000,2014
501131,36,Completed,0.34887,0.3125,0.3025,4,Other,TX,Professional,Employed,0,3,30,30,0,0.0,15000.0,3000,2011
592507,36,Chargedoff,0.26681,0.2287,0.2187,3,Household Expenses,NJ,Administrative Assistant,Full-time,0,3,50,46,4,0.0,6000.0,2000,2012
927543,60,Current,0.24754,0.2225,0.2125,8,Business,UT,Accountant/CPA,Employed,0,1,32,30,2,0.0,2600.0,10000,2013
523280,60,Current,0.29371,0.2699,0.2599,5,Home Improvement,AK,Clerical,Full-time,0,2,33,32,1,0.0,12400.0,10000,2011
490146,36,Completed,0.10375,0.0829,0.0729,9,Auto,VA,Accountant/CPA,Employed,0,2,11,11,0,0.0,3000.0,7500,2011
1177812,36,Current,0.14206,0.1139,0.1039,10,Home Improvement,CA,Investor,Self-employed,0,1,28,28,0,0.0,15000.0,15000,2014
528390,36,Past Due (31-60 days),0.13413,0.1129,0.1029,8,Debt Consolidation,TN,Sales - Commission,Full-time,0,3,35,34,1,0.0,11500.0,13000,2011
446368,36,Completed,0.07439,0.071,0.061,10,Auto,MT,Other,Full-time,0,1,11,11,0,0.0,2000.0,2500,2010
721057,60,Current,0.24589,0.2209,0.2109,4,Debt Consolidation,SC,Sales - Commission,Employed,0,2,24,23,1,0.0,11000.0,10000,2013
556553,36,Past Due (1-15 days),0.2399,0.2024,0.1924,4,Debt Consolidation,IL,Other,Employed,0,2,22,22,0,0.0,4000.0,3000,2012
1108253,60,Current,0.28129,0.2554,0.2454,4,Debt Consolidation,WY,Other,Employed,0,1,14,14,0,0.0,4000.0,4000,2014
1040122,36,Current,0.08496,0.0716,0.0616,10,Debt Consolidation,IN,Executive,Employed,0,1,4,4,0,0.0,20000.0,20000,2013
1079667,36,Current,0.09434,0.0809,0.0709,11,Debt Consolidation,SC,Sales - Retail,Employed,0,1,6,6,0,0.0,4000.0,8500,2014
819017,60,Current,0.14453,0.1219,0.1119,8,Debt Consolidation,GA,Other,Employed,0,1,12,12,0,0.0,3000.0,10000,2013
1173366,36,Current,0.17969,0.1435,0.1335,8,Debt Consolidation,MS,Computer Programmer,Employed,0,1,11,11,0,0.0,10000.0,15000,2014
905854,60,Current,0.28899,0.2629,0.2529,4,Other,CA,Professional,Employed,0,1,13,13,0,0.0,7500.0,5000,2013
706301,60,Completed,0.26528,0.2398,0.2298,2,Debt Consolidation,VA,Other,Employed,353,1,10,10,0,0.0,3000.0,12000,2013
493724,36,Completed,0.25424,0.2199,0.2099,6,Auto,IN,Engineer - Mechanical,Employed,0,2,53,52,1,0.0,10400.0,7500,2011
792107,60,Current,0.15629,0.1334,0.1234,8,Household Expenses,GA,Teacher,Full-time,0,4,107,105,2,0.0,33050.0,10000,2013
817269,60,Current,0.20081,0.1769,0.1669,6,Debt Consolidation,PA,Clerical,Employed,0,1,13,13,0,0.0,4000.0,10000,2013
498624,60,Current,0.14657,0.1329,0.1229,9,Debt Consolidation,NV,Other,Employed,0,1,35,35,0,0.0,2000.0,13000,2011
1086246,36,Current,0.0903,0.0769,0.0669,11,Debt Consolidation,CA,Other,Employed,0,2,26,17,9,0.0,19398.0,8000,2013
683781,60,Completed,0.33709,0.3097,0.2997,4,Debt Consolidation,MN,Other,Employed,0,3,46,46,0,0.0,9682.0,4000,2012
819622,60,Past Due (1-15 days),0.31293,0.2862,0.2762,6,Medical/Dental,GA,Police Officer/Correction Officer,Employed,1845,1,10,7,3,0.0,3000.0,4000,2013
